accession	accession_version	strain	date	region	country	division	location	length	host	release_date	update_date	sra_accessions	authors	institution	url
KY075938	KY075938.1	KY075938	2016-09-20	North America	USA	Florida	Miami-Dade County	10605	Aedes aegypti	2016-11-04	2017-06-09	SRR5640043,SRR5640048,SRR5640115,SRR5122849	Grubaugh et al.	The Scripps Research Institute, Department of Immunology and Microbial Science	https://www.ncbi.nlm.nih.gov/nuccore/KY075938
KY075939	KY075939.2	KY075939	2016-10-05	North America	USA	Florida	Miami-Dade County	10636	Aedes aegypti	2016-11-04	2017-06-09	SRR5122839,SRR5640046,SRR5640049,SRR5640109	Grubaugh et al.	The Scripps Research Institute, Department of Immunology and Microbial Science	https://www.ncbi.nlm.nih.gov/nuccore/KY075939
KY120348	KY120348.1	KY120348	2016-03-03	North America	Mexico	Oaxaca	Tehuantepec Isthmus	10744	Homo sapiens	2016-11-20	2017-01-10		Boukadida et al.	Instituto Nacional de Enfermedades Respiratorias Ismael Cosio Villegas (INER), Departamento de Investigacion en Enfermedades Infecciosas (CIENI)	https://www.ncbi.nlm.nih.gov/nuccore/KY120348
KY120349	KY120349.2	KY120349	2016-03-03	North America	Mexico	Oaxaca	Tehuantepec Isthmus	10633	Homo sapiens	2016-11-20	2017-01-10		Boukadida et al.	Instituto Nacional de Enfermedades Respiratorias Ismael Cosio Villegas (INER), Departamento de Investigacion en Enfermedades Infecciosas (CIENI)	https://www.ncbi.nlm.nih.gov/nuccore/KY120349
KY120352	KY120352.1	KY120352	2016-03-22	South America	Brazil	Brazil	Brazil	10272	Homo sapiens	2017-12-31	2017-12-31		Oh et al.	National Institute of Health, Korea centers for Disease control and Prevention, Division of Arboviruses, Center for Immuonology & Pathology	https://www.ncbi.nlm.nih.gov/nuccore/KY120352
KY120353	KY120353.1	KY120353	2016-04-28	Southeast Asia	Philippines	Philippines	Philippines	10272	Homo sapiens	2017-12-31	2017-12-31		Oh et al.	National Institute of Health, Korea centers for Disease control and Prevention, Division of Arboviruses, Center for Immuonology & Pathology	https://www.ncbi.nlm.nih.gov/nuccore/KY120353
KY126345	KY126345.1	KY126345	2016-06-XX	Asia	Taiwan			2382	Homo sapiens	2017-06-30	2017-06-30		Lin et al.	Centers for Disease Control, Center for Diagnostics and Vaccine Development	https://www.ncbi.nlm.nih.gov/nuccore/KY126345
KY126346	KY126346.1	KY126346	2016-08-XX	Asia	Taiwan			2382	Homo sapiens	2017-06-30	2017-06-30		Lin et al.	Centers for Disease Control, Center for Diagnostics and Vaccine Development	https://www.ncbi.nlm.nih.gov/nuccore/KY126346
KY126347	KY126347.1	KY126347	2016-09-XX	Asia	Taiwan			2382	Homo sapiens	2017-06-30	2017-06-30		Lin et al.	Centers for Disease Control, Center for Diagnostics and Vaccine Development	https://www.ncbi.nlm.nih.gov/nuccore/KY126347
KY126348	KY126348.1	KY126348	2016-10-XX	Asia	Taiwan			2382	Homo sapiens	2017-06-30	2017-06-30		Lin et al.	Centers for Disease Control, Center for Diagnostics and Vaccine Development	https://www.ncbi.nlm.nih.gov/nuccore/KY126348
KY126349	KY126349.1	KY126349	2016-10-XX	Asia	Taiwan			2382	Homo sapiens	2017-06-30	2017-06-30		Lin et al.	Centers for Disease Control, Center for Diagnostics and Vaccine Development	https://www.ncbi.nlm.nih.gov/nuccore/KY126349
KY126350	KY126350.1	KY126350	2016-10-XX	Asia	Taiwan			2382	Homo sapiens	2017-06-30	2017-06-30		Lin et al.	Centers for Disease Control, Center for Diagnostics and Vaccine Development	https://www.ncbi.nlm.nih.gov/nuccore/KY126350
KY126351	KY126351.1	KY126351	2016-05-XX	Asia	Taiwan			10499	Homo sapiens	2017-06-30	2017-06-30		Lin et al.	Centers for Disease Control, Center for Diagnostics and Vaccine Development	https://www.ncbi.nlm.nih.gov/nuccore/KY126351
KY131441	KY131441.1	KY131441	2013-01-XX	Asia	Vietnam	Cu Chi		1490	Homo sapiens	2017-07-30	2017-07-30		Quyen et al.	Oxford University Clinical Research Unit, Vietnam, Dengue	https://www.ncbi.nlm.nih.gov/nuccore/KY131441
KY131442	KY131442.1	KY131442	2013-06-XX	Asia	Vietnam	Long An		1512	Homo sapiens	2017-07-30	2017-07-30		Quyen et al.	Oxford University Clinical Research Unit, Vietnam, Dengue	https://www.ncbi.nlm.nih.gov/nuccore/KY131442
KY241671	KY241671.1	KY241671	2016-09-04	Asia	Singapore			10767	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241671
KY241673	KY241673.1	KY241673	2016-09-04	Asia	Singapore			10740	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241673
KY241674	KY241674.1	KY241674	2016-09-05	Asia	Singapore			10631	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241674
KY241675	KY241675.1	KY241675	2016-09-06	Asia	Singapore			10735	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241675
KY241676	KY241676.1	KY241676	2016-09-06	Asia	Singapore			10740	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241676
KY241677	KY241677.1	KY241677	2016-09-07	Asia	Singapore			10739	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241677
KY241678	KY241678.1	KY241678	2016-09-07	Asia	Singapore			10721	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241678
KY241679	KY241679.1	KY241679	2016-09-07	Asia	Singapore			10755	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241679
KY241680	KY241680.1	KY241680	2016-09-07	Asia	Singapore			10728	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241680
KY241681	KY241681.1	KY241681	2016-09-08	Asia	Singapore			10742	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241681
KY241682	KY241682.1	KY241682	2016-09-08	Asia	Singapore			10755	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241682
KY241683	KY241683.1	KY241683	2016-09-08	Asia	Singapore			10596	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241683
KY241684	KY241684.1	KY241684	2016-09-08	Asia	Singapore			10739	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241684
KY241685	KY241685.1	KY241685	2016-09-12	Asia	Singapore			10684	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241685
KY241686	KY241686.1	KY241686	2016-09-12	Asia	Singapore			10770	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241686
KY241687	KY241687.1	KY241687	2016-09-13	Asia	Singapore			10751	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241687
KY241688	KY241688.1	KY241688	2016-09-13	Asia	Singapore			10659	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241688
KY241689	KY241689.1	KY241689	2016-09-13	Asia	Singapore			10738	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241689
KY241690	KY241690.1	KY241690	2016-09-13	Asia	Singapore			10756	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241690
KY241691	KY241691.1	KY241691	2016-09-13	Asia	Singapore			10734	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241691
KY241692	KY241692.1	KY241692	2016-09-14	Asia	Singapore			10716	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241692
KY241693	KY241693.1	KY241693	2016-09-15	Asia	Singapore			10770	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241693
KY241694	KY241694.1	KY241694	2016-09-19	Asia	Singapore			10755	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241694
KY241695	KY241695.1	KY241695	2016-09-20	Asia	Singapore			10770	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241695
KY241696	KY241696.1	KY241696	2016-08-30	Asia	Singapore			10769	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241696
KY241697	KY241697.1	KY241697	2016-08-27	Asia	Singapore			10734	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241697
KY241698	KY241698.1	KY241698	2016-08-26	Asia	Singapore			10740	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241698
KY241699	KY241699.1	KY241699	2016-08-30	Asia	Singapore			10770	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241699
KY241700	KY241700.1	KY241700	2016-08-27	Asia	Singapore			10738	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241700
KY241701	KY241701.1	KY241701	2016-08-27	Asia	Singapore			10763	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241701
KY241702	KY241702.1	KY241702	2016-08-27	Asia	Singapore			10770	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241702
KY241703	KY241703.1	KY241703	2016-08-29	Asia	Singapore			10762	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241703
KY241704	KY241704.1	KY241704	2016-08-27	Asia	Singapore			10706	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241704
KY241705	KY241705.1	KY241705	2016-08-30	Asia	Singapore			10770	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241705
KY241706	KY241706.1	KY241706	2016-08-28	Asia	Singapore			10770	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241706
KY241707	KY241707.1	KY241707	2016-08-28	Asia	Singapore			10744	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241707
KY241708	KY241708.1	KY241708	2016-08-28	Asia	Singapore			10755	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241708
KY241709	KY241709.1	KY241709	2016-08-28	Asia	Singapore			10755	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241709
KY241710	KY241710.1	KY241710	2016-08-27	Asia	Singapore			10770	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241710
KY241711	KY241711.1	KY241711	2016-08-29	Asia	Singapore			10764	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241711
KY241712	KY241712.1	KY241712	2016-08-30	Asia	Singapore			10770	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241712
KY241713	KY241713.1	KY241713	2016-08-28	Asia	Singapore			10765	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241713
KY241714	KY241714.1	KY241714	2016-08-28	Asia	Singapore			10761	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241714
KY241715	KY241715.1	KY241715	2016-08-28	Asia	Singapore			10770	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241715
KY241716	KY241716.1	KY241716	2016-08-28	Asia	Singapore			10770	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241716
KY241717	KY241717.1	KY241717	2016-08-29	Asia	Singapore			10764	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241717
KY241718	KY241718.1	KY241718	2016-08-29	Asia	Singapore			10770	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241718
KY241719	KY241719.1	KY241719	2016-08-29	Asia	Singapore			10764	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241719
KY241720	KY241720.1	KY241720	2016-08-29	Asia	Singapore			10768	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241720
KY241721	KY241721.1	KY241721	2016-08-28	Asia	Singapore			10770	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241721
KY241722	KY241722.1	KY241722	2016-08-28	Asia	Singapore			10770	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241722
KY241723	KY241723.1	KY241723	2016-08-27	Asia	Singapore			10770	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241723
KY241724	KY241724.1	KY241724	2016-08-28	Asia	Singapore			10770	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241724
KY241725	KY241725.1	KY241725	2016-08-26	Asia	Singapore			10770	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241725
KY241726	KY241726.1	KY241726	2016-08-28	Asia	Singapore			10737	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241726
KY241727	KY241727.1	KY241727	2016-08-28	Asia	Singapore			10738	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241727
KY241728	KY241728.1	KY241728	2016-08-29	Asia	Singapore			10770	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241728
KY241729	KY241729.1	KY241729	2016-08-29	Asia	Singapore			10770	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241729
KY241730	KY241730.1	KY241730	2016-08-27	Asia	Singapore			10770	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241730
KY241731	KY241731.1	KY241731	2016-08-30	Asia	Singapore			10770	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241731
KY241732	KY241732.1	KY241732	2016-08-27	Asia	Singapore			10770	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241732
KY241733	KY241733.1	KY241733	2016-08-28	Asia	Singapore			10763	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241733
KY241734	KY241734.1	KY241734	2016-08-28	Asia	Singapore			10768	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241734
KY241735	KY241735.1	KY241735	2016-08-27	Asia	Singapore			10770	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241735
KY241736	KY241736.1	KY241736	2016-08-29	Asia	Singapore			10770	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241736
KY241737	KY241737.1	KY241737	2016-08-28	Asia	Singapore			10770	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241737
KY241738	KY241738.1	KY241738	2016-08-30	Asia	Singapore			10770	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241738
KY241739	KY241739.1	KY241739	2016-08-28	Asia	Singapore			10764	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241739
KY241740	KY241740.1	KY241740	2016-08-29	Asia	Singapore			10763	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241740
KY241741	KY241741.1	KY241741	2016-08-28	Asia	Singapore			10766	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241741
KY241742	KY241742.1	KY241742	2016-08-28	Asia	Singapore			10763	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241742
KY241743	KY241743.1	KY241743	2016-08-26	Asia	Singapore			10763	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241743
KY241744	KY241744.1	KY241744	2016-08-28	Asia	Singapore			10762	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241744
KY241745	KY241745.1	KY241745	2016-08-30	Asia	Singapore			10763	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241745
KY241746	KY241746.1	KY241746	2016-08-28	Asia	Singapore			10763	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241746
KY241747	KY241747.1	KY241747	2016-08-28	Asia	Singapore			10763	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241747
KY241748	KY241748.1	KY241748	2016-08-28	Asia	Singapore			10739	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241748
KY241749	KY241749.1	KY241749	2016-08-28	Asia	Singapore			10763	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241749
KY241750	KY241750.1	KY241750	2016-08-28	Asia	Singapore			10763	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241750
KY241751	KY241751.1	KY241751	2016-08-28	Asia	Singapore			10703	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241751
KY241752	KY241752.1	KY241752	2016-08-28	Asia	Singapore			10763	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241752
KY241753	KY241753.1	KY241753	2016-08-26	Asia	Singapore			10763	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241753
KY241754	KY241754.1	KY241754	2016-09-07	Asia	Singapore			10758	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241754
KY241755	KY241755.1	KY241755	2016-08-31	Asia	Singapore			10762	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241755
KY241756	KY241756.1	KY241756	2016-09-05	Asia	Singapore			10739	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241756
KY241757	KY241757.1	KY241757	2016-09-12	Asia	Singapore			10767	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241757
KY241758	KY241758.1	KY241758	2016-08-30	Asia	Singapore			10756	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241758
KY241759	KY241759.1	KY241759	2016-09-02	Asia	Singapore			10766	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241759
KY241760	KY241760.1	KY241760	2016-09-13	Asia	Singapore			10755	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241760
KY241761	KY241761.1	KY241761	2016-09-03	Asia	Singapore			10755	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241761
KY241762	KY241762.1	KY241762	2016-08-30	Asia	Singapore			10767	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241762
KY241763	KY241763.1	KY241763	2016-09-02	Asia	Singapore			10764	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241763
KY241764	KY241764.1	KY241764	2016-08-31	Asia	Singapore			10767	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241764
KY241765	KY241765.1	KY241765	2016-08-30	Asia	Singapore			10767	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241765
KY241766	KY241766.1	KY241766	2016-09-15	Asia	Singapore			10550	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241766
KY241767	KY241767.1	KY241767	2016-09-07	Asia	Singapore			10695	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241767
KY241768	KY241768.1	KY241768	2016-08-31	Asia	Singapore			10767	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241768
KY241769	KY241769.1	KY241769	2016-09-10	Asia	Singapore			10493	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241769
KY241770	KY241770.1	KY241770	2016-08-30	Asia	Singapore			10767	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241770
KY241771	KY241771.1	KY241771	2016-09-02	Asia	Singapore			10755	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241771
KY241772	KY241772.1	KY241772	2016-08-30	Asia	Singapore			10767	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241772
KY241773	KY241773.1	KY241773	2016-09-07	Asia	Singapore			10767	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241773
